"נתוני שערים - הראל קרנות נאמנות בע""מ - הרל.NDX 100",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
15/06/2023,5655,3220.23
14/06/2023,5670,2690.93
13/06/2023,5605,1835.49
12/06/2023,5554,4348.92
11/06/2023,5493,57.41
08/06/2023,5545,1646.61
07/06/2023,5619,4724.01
06/06/2023,5683,1738.33
05/06/2023,5747,1603.46
04/06/2023,5735,66.04
01/06/2023,5632,1317.67
31/05/2023,5642,1044.99
30/05/2023,5632,1961.4
29/05/2023,5638,2562.62
28/05/2023,5590,190.21
24/05/2023,5330,2185.6
23/05/2023,5391,2488.66
22/05/2023,5362,2455.34
21/05/2023,5330,123.22
18/05/2023,5251,1247.47
17/05/2023,5193,705.95
16/05/2023,5196,2016.31
15/05/2023,5172,2010.46
14/05/2023,5144,16.31
11/05/2023,5144,2507.18
10/05/2023,5157,2077.32
09/05/2023,5118,619.87
08/05/2023,5070,1176.64
07/05/2023,5093,149.96
04/05/2023,4999,410.4
03/05/2023,5050,925.88
02/05/2023,5082,1593.35
01/05/2023,5061,3302
30/04/2023,5055,44.33
27/04/2023,4985,4892.71
24/04/2023,5029,4197.33
23/04/2023,5020,22.39
20/04/2023,5032,2539.83
19/04/2023,5017,1584.08
18/04/2023,5069,2606.18
17/04/2023,5032,4232.62
16/04/2023,5035,57.01
13/04/2023,5001,1191.24
10/04/2023,4972,2900.54
09/04/2023,4982,36.05
04/04/2023,4972,1222.93
03/04/2023,4974,3194.19
02/04/2023,4996,77.3
30/03/2023,4908,3283.13
29/03/2023,4841,3748.82
28/03/2023,4721,2450.83
27/03/2023,4852,3738.79
26/03/2023,4845,7.27
23/03/2023,4847,6328.09
22/03/2023,4886,2388.72
21/03/2023,4876,1235.89
20/03/2023,4854,5440.29
19/03/2023,4824,132.01
16/03/2023,4774,2713.56
15/03/2023,4629,2172.3
14/03/2023,4651,2564.92
13/03/2023,4557,6950.95
12/03/2023,4518,27.61
09/03/2023,4662,3421.39
08/03/2023,4614,10302.34
06/03/2023,4689,2062.87
05/03/2023,4731,154.67
02/03/2023,4567,2134.81
01/03/2023,4600,7296.47
28/02/2023,4668,1737.88
27/02/2023,4685,2133.78
26/02/2023,4630,139.67
23/02/2023,4658,1357.72
22/02/2023,4643,1659.67
21/02/2023,4693,7027.53
20/02/2023,4643,683.07
19/02/2023,4644,277.37
16/02/2023,4713,773.28
15/02/2023,4688,6966.08
14/02/2023,4648,2961.93
13/02/2023,4622,4603.79
12/02/2023,4592,297.45
09/02/2023,4650,8109.45
08/02/2023,4654,4946.12
07/02/2023,4600,1186.75
