"נתוני שערים - הראל קרנות נאמנות בע""מ - הרל.NDX 100 ממ",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
15/06/2023,13410,1484.48
14/06/2023,13330,1260.07
13/06/2023,13330,767.38
12/06/2023,13030,760.52
11/06/2023,12980,351.36
08/06/2023,12850,1741.16
07/06/2023,13050,1739.28
06/06/2023,13010,331.76
05/06/2023,13000,4234.3
04/06/2023,12980,10.77
01/06/2023,12760,2225.6
31/05/2023,12780,433.66
30/05/2023,12860,1241.92
29/05/2023,12830,245.61
28/05/2023,12730,339.29
24/05/2023,12130,600.42
23/05/2023,12360,235.03
22/05/2023,12380,1962.31
21/05/2023,12350,62.65
18/05/2023,12220,1144.2
17/05/2023,12060,1652.12
16/05/2023,11990,445.69
15/05/2023,11960,340.98
14/05/2023,11960,272.11
11/05/2023,11920,1316.55
10/05/2023,11910,878.48
09/05/2023,11840,219.49
08/05/2023,11850,1477.86
07/05/2023,11770,38.06
04/05/2023,11650,295.83
03/05/2023,11790,981.02
02/05/2023,11850,844.85
01/05/2023,11840,1704.65
30/04/2023,11810,24.22
27/04/2023,11590,977.43
24/04/2023,11650,677.29
23/04/2023,11640,68.5
20/04/2023,11600,548.35
19/04/2023,11640,1756.38
18/04/2023,11800,651.19
17/04/2023,11690,1938.69
16/04/2023,11670,773.09
13/04/2023,11570,691.85
10/04/2023,11690,1448.71
09/04/2023,11750,163.29
04/04/2023,11810,881.05
03/04/2023,11750,383.87
02/04/2023,11800,175.73
30/03/2023,11590,507.13
29/03/2023,11420,27.99
28/03/2023,11290,32.98
27/03/2023,11460,603.07
26/03/2023,11530,63.06
23/03/2023,11550,1604.67
22/03/2023,11460,4640.03
21/03/2023,11370,738.51
20/03/2023,11200,2798.42
19/03/2023,11170,104.05
16/03/2023,11130,1969.98
15/03/2023,10880,942.55
14/03/2023,10920,1148.47
13/03/2023,10640,728.98
12/03/2023,10640,128.61
09/03/2023,10920,188.54
08/03/2023,10940,1555.37
06/03/2023,11120,983.51
