"נתוני שערים - מור ניהול קרנות נאמנות (2013) בע""מ - מו.NDX100",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
15/06/2023,7979,1454.45
14/06/2023,8027,8872.79
13/06/2023,7901,2743.56
12/06/2023,7842,1653.14
11/06/2023,7829,669.02
08/06/2023,7863,2933.65
07/06/2023,7945,1973.14
06/06/2023,8034,5304.48
05/06/2023,8139,7591.66
04/06/2023,8096,304.59
01/06/2023,7975,2235.44
31/05/2023,7982,2114.72
30/05/2023,7947,3792.42
29/05/2023,7977,4554.58
28/05/2023,7943,485.33
24/05/2023,7537,2924.34
23/05/2023,7605,717.74
22/05/2023,7577,15915.46
21/05/2023,7492,292.45
18/05/2023,7421,1749.76
17/05/2023,7329,835.3
16/05/2023,7342,1650.07
15/05/2023,7280,1068.8
14/05/2023,7278,607.15
11/05/2023,7273,2245.68
10/05/2023,7259,2885.49
09/05/2023,7231,1099.2
08/05/2023,7155,5113.27
07/05/2023,7175,862.15
04/05/2023,7064,1651.25
03/05/2023,7137,1417.65
02/05/2023,7168,700.59
01/05/2023,7160,2417.2
30/04/2023,7156,252.61
27/04/2023,7031,2061.51
24/04/2023,7112,12186.39
23/04/2023,7119,285.16
20/04/2023,7085,1039.1
19/04/2023,7086,811.57
18/04/2023,7154,2342.55
17/04/2023,7118,1676.72
16/04/2023,7133,414.22
13/04/2023,7039,3282.23
10/04/2023,7025,2451.56
09/04/2023,7065,357.84
04/04/2023,7021,1902.18
03/04/2023,7034,1655.7
02/04/2023,7039,698.4
30/03/2023,6924,2190.13
29/03/2023,6837,3802.14
28/03/2023,6674,3891.37
27/03/2023,6839,4335.32
26/03/2023,6899,300.25
23/03/2023,6906,2810.57
22/03/2023,6912,13485.29
21/03/2023,6887,7471.93
20/03/2023,6863,4526.37
19/03/2023,6826,376.7
16/03/2023,6767,6280.9
15/03/2023,6565,1349.94
14/03/2023,6572,4348.55
13/03/2023,6495,1819.69
12/03/2023,6398,464.39
09/03/2023,6578,843.53
08/03/2023,6521,2269.43
06/03/2023,6623,8069.53
05/03/2023,6685,97.85
02/03/2023,6470,1832.14
01/03/2023,6493,1224.78
28/02/2023,6605,5977.51
27/02/2023,6628,17506.83
26/02/2023,6570,1015.84
23/02/2023,6592,5837.91
22/02/2023,6560,4113
21/02/2023,6617,4356.92
20/02/2023,6582,2482.08
19/02/2023,6559,216.39
16/02/2023,6650,5707.4
15/02/2023,6612,14104.7
14/02/2023,6562,6679.5
13/02/2023,6526,6172.96
12/02/2023,6498,313.06
09/02/2023,6575,20166.18
08/02/2023,6567,2439.61
07/02/2023,6478,1563.95
06/02/2023,6478,3824.73
05/02/2023,6431,161.01
02/02/2023,6425,2722.45
01/02/2023,6228,1664.24
31/01/2023,6175,11268.02
