נתונים היסטוריים 5129283,,
תאריך,מחיר קניה,שווי נכסים במיל' ₪
21/06/2023,211,640.5
20/06/2023,213.53,640.5
15/06/2023,211.64,640.5
14/06/2023,211.41,640.5
13/06/2023,207.92,640.5
12/06/2023,208.41,640.5
08/06/2023,207.52,546.1
07/06/2023,203.97,546.1
06/06/2023,210.67,546.1
05/06/2023,212.67,546.1
01/06/2023,211.38,546.1
31/05/2023,207.85,546.1
30/05/2023,208.01,546.1
24/05/2023,197.92,546.1
23/05/2023,197.81,546.1
22/05/2023,198.07,546.1
18/05/2023,197.14,546.1
17/05/2023,193.82,546.1
16/05/2023,192.16,546.1
15/05/2023,192.12,546.1
11/05/2023,191.06,546.1
10/05/2023,190.06,546.1
09/05/2023,188.94,546.1
08/05/2023,188.39,546.1
04/05/2023,185.2,522.6
03/05/2023,185.19,522.6
02/05/2023,186.84,522.6
01/05/2023,187.17,522.6
27/04/2023,187.11,522.6
24/04/2023,185.09,522.6
20/04/2023,185.22,522.6
19/04/2023,186.68,522.6
18/04/2023,186.66,522.6
17/04/2023,186.44,522.6
13/04/2023,187.08,481.6
10/04/2023,184.3,481.6
04/04/2023,182.93,481.6
03/04/2023,184.01,481.6
30/03/2023,181.32,481.6
29/03/2023,179.6,481.6
28/03/2023,174.83,481.6
27/03/2023,178.51,481.6
23/03/2023,176.9,481.6
22/03/2023,177.63,481.6
21/03/2023,181.56,481.6
20/03/2023,179.71,481.6
16/03/2023,179.62,481.6
15/03/2023,173.51,481.6
14/03/2023,172.01,481.6
13/03/2023,168.53,481.6
09/03/2023,167.27,433.6
08/03/2023,170.84,433.6
06/03/2023,171.61,433.6
02/03/2023,171.73,433.6
01/03/2023,168.86,433.6
28/02/2023,171.84,433.6
27/02/2023,172.01,433.6
23/02/2023,171.83,433.6
22/02/2023,170.76,433.6
21/02/2023,170.89,433.6
16/02/2023,172.3,433.6
15/02/2023,174.9,433.6
14/02/2023,172.3,433.6
13/02/2023,171.74,433.6
09/02/2023,168.53,433.6
08/02/2023,169.66,433.6
07/02/2023,172.89,395.8
06/02/2023,168.76,395.8
02/02/2023,170.09,395.8
01/02/2023,166.58,395.8
31/01/2023,163.49,395.8
30/01/2023,160.59,395.8
26/01/2023,160.02,395.8
25/01/2023,155.61,395.8
24/01/2023,155.79,395.8
23/01/2023,156,395.8
19/01/2023,150.4,395.8
18/01/2023,150.04,395.8
17/01/2023,153.2,395.8
12/01/2023,152.7,395.8
11/01/2023,152.55,395.8
10/01/2023,151.51,395.8
09/01/2023,150.09,395.8
05/01/2023,148.43,434.9
04/01/2023,149.85,434.9
03/01/2023,149.51,434.9
29/12/2022,149.97,434.9
28/12/2022,146.85,434.9
27/12/2022,147.97,434.9
22/12/2022,149.15,434.9
21/12/2022,151.93,434.9
20/12/2022,149.39,434.9
19/12/2022,148.92,434.9
15/12/2022,152.1,434.9
14/12/2022,155.69,434.9
13/12/2022,156.32,434.9
12/12/2022,156.13,434.9
08/12/2022,155.32,419
07/12/2022,153.84,419
06/12/2022,153.91,419
05/12/2022,156.36,419
01/12/2022,159.26,419
30/11/2022,161.43,419
29/11/2022,153.98,419
28/11/2022,155.14,419
23/11/2022,158.13,419
22/11/2022,158.12,419
21/11/2022,156.03,419
17/11/2022,157.74,419
16/11/2022,156.37,419
15/11/2022,157.29,419
14/11/2022,155.77,419
10/11/2022,157.13,419
09/11/2022,148.42,419
08/11/2022,151.79,392.9
07/11/2022,150.95,392.9
03/11/2022,148.01,392.9
02/11/2022,149.17,392.9
31/10/2022,155.57,392.9
27/10/2022,152.07,392.9
26/10/2022,154.5,392.9
25/10/2022,158.89,392.9
24/10/2022,157.81,392.9
20/10/2022,151.23,392.9
19/10/2022,152.04,392.9
18/10/2022,152.1,390.5
13/10/2022,152.7,390.5
12/10/2022,149.03,390.5
11/10/2022,149.49,390.5
06/10/2022,157.19,390.5
03/10/2022,154.7,390.5
29/09/2022,154.18,390.5
28/09/2022,157.63,390.5
22/09/2022,155.09,390.5
21/09/2022,156.05,390.5
20/09/2022,158.56,390.5
19/09/2022,159.63,390.5
15/09/2022,158.36,390.5
14/09/2022,161.41,390.5
13/09/2022,158.94,390.5
12/09/2022,166.02,390.5
08/09/2022,163.86,404.5
07/09/2022,162.73,404.5
06/09/2022,159.29,404.5
01/09/2022,161.48,404.5
31/08/2022,158.78,404.5
30/08/2022,159.06,404.5
29/08/2022,160.43,404.5
25/08/2022,166.62,404.5
24/08/2022,164.14,404.5
23/08/2022,163,404.5
22/08/2022,164.57,404.5
18/08/2022,170.1,404.5
17/08/2022,169.67,404.5
16/08/2022,172.5,404.5
15/08/2022,173.79,404.5
11/08/2022,166.43,404.5
10/08/2022,169.15,404.5
09/08/2022,166.88,404.5
08/08/2022,168.66,374.6
04/08/2022,172.27,374.6
03/08/2022,172.85,374.6
02/08/2022,168.41,374.6
01/08/2022,168.54,374.6
28/07/2022,168.02,374.6
27/07/2022,167.13,374.6
26/07/2022,161.11,374.6
25/07/2022,163.86,374.6
21/07/2022,168.22,374.6
20/07/2022,165.51,374.6
19/07/2022,162.68,374.6
18/07/2022,158.1,374.6
14/07/2022,159.61,374.6
13/07/2022,157.65,374.6
12/07/2022,157.93,374.6
11/07/2022,159.94,374.6
07/07/2022,162.61,387.2
06/07/2022,160.23,387.2
05/07/2022,160.81,387.2
30/06/2022,156.24,387.2
29/06/2022,156.01,387.2
28/06/2022,154.6,387.2
27/06/2022,159.03,387.2
23/06/2022,155.9,387.2
22/06/2022,153.26,387.2
21/06/2022,154,387.2
16/06/2022,148.71,387.2
15/06/2022,154.06,387.2
14/06/2022,151.54,387.2
13/06/2022,150.67,387.2
09/06/2022,159.15,410.6
08/06/2022,162.31,410.6
07/06/2022,164.64,410.6
06/06/2022,161.64,410.6
02/06/2022,166.59,410.6
01/06/2022,162.41,410.6
31/05/2022,162.88,410.6
26/05/2022,159.02,410.6
25/05/2022,154.48,410.6
24/05/2022,153.04,410.6
23/05/2022,155.47,410.6
19/05/2022,155.13,410.6
18/05/2022,155.38,410.6
17/05/2022,162.53,410.6
16/05/2022,160.17,410.6
12/05/2022,159.38,410.6
11/05/2022,158.19,410.6
10/05/2022,164.26,410.6
09/05/2022,161.64,442.8
03/05/2022,169.16,442.8
02/05/2022,169.32,442.8
28/04/2022,172.91,442.8
27/04/2022,166.39,442.8
26/04/2022,165.34,442.8
25/04/2022,172.08,442.8
20/04/2022,174.22,442.8
19/04/2022,178.01,442.8
18/04/2022,173.74,442.8
14/04/2022,172.79,442.8
13/04/2022,176.78,442.8
12/04/2022,172.37,442.8
11/04/2022,173.92,442.8
07/04/2022,180.89,412.4
06/04/2022,181.6,412.4
05/04/2022,183.83,412.4
04/04/2022,188.21,412.4
31/03/2022,182.93,412.4
30/03/2022,185.13,412.4
29/03/2022,188.35,412.4
28/03/2022,186.37,412.4
24/03/2022,183.98,412.4
23/03/2022,179.62,412.4
22/03/2022,181.84,412.4
21/03/2022,178.54,412.4
16/03/2022,175.6,412.4
15/03/2022,170.48,412.4
14/03/2022,165.21,412.4
10/03/2022,171.16,412.4
09/03/2022,172.78,412.4
08/03/2022,169.43,412.4
07/03/2022,169.35,428.2
03/03/2022,175.75,428.2
02/03/2022,178.25,428.2
01/03/2022,174.37,428.2
28/02/2022,175.85,428.2
24/02/2022,176.75,428.2
23/02/2022,168.71,428.2
22/02/2022,173.37,428.2
17/02/2022,175.92,428.2
16/02/2022,180.24,428.2
15/02/2022,181.96,428.2
14/02/2022,179.94,428.2
10/02/2022,183.26,428.2
09/02/2022,186.45,428.2
08/02/2022,183.36,428.2
07/02/2022,179.56,444.6
03/02/2022,179.04,444.6
02/02/2022,185.27,444.6
01/02/2022,183.96,444.6
31/01/2022,183.37,444.6
27/01/2022,172.98,444.6
26/01/2022,173.63,444.6
25/01/2022,174.2,444.6
24/01/2022,178.32,444.6
20/01/2022,179.85,444.6
19/01/2022,182.45,444.6
18/01/2022,184.18,444.6
13/01/2022,186.52,444.6
12/01/2022,190.6,444.6
11/01/2022,191.22,444.6
10/01/2022,190.19,444.6
06/01/2022,190.17,429.3
05/01/2022,188.98,429.3
04/01/2022,194.19,429.3
03/01/2022,198.46,429.3
30/12/2021,197.28,429.3
29/12/2021,199.16,429.3
28/12/2021,197.61,429.3
27/12/2021,199.51,429.3
23/12/2021,198.76,429.3
22/12/2021,198.07,429.3
21/12/2021,195.68,429.3
20/12/2021,191.69,429.3
16/12/2021,190.3,429.3
15/12/2021,197.84,429.3
14/12/2021,193,429.3
13/12/2021,193.72,429.3
09/12/2021,193.61,429.3
08/12/2021,196.53,429.3
07/12/2021,197.21,408.4
06/12/2021,193.96,408.4
02/12/2021,195.83,408.4
01/12/2021,193.49,408.4
30/11/2021,195.9,408.4
29/11/2021,200.54,408.4
24/11/2021,199.33,408.4
23/11/2021,197.76,408.4
22/11/2021,195.4,408.4
18/11/2021,196.5,408.4
17/11/2021,192.52,408.4
16/11/2021,194.87,408.4
15/11/2021,194.07,408.4
11/11/2021,193.22,408.4
10/11/2021,192.15,408.4
09/11/2021,194.92,408.4
08/11/2021,195.85,408.4
04/11/2021,196.21,344
03/11/2021,194.73,344
02/11/2021,193.67,344
01/11/2021,191.66,344
28/10/2021,192.83,344
27/10/2021,192.19,344
26/10/2021,192.32,344
25/10/2021,191.97,344
21/10/2021,192.03,344
20/10/2021,190.92,344
19/10/2021,191.1,344
18/10/2021,190.13,344
14/10/2021,186.95,344
