 נתוני מדד ת"א-בנייה,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
23/06/2025,1874.85,135280.53
22/06/2025,1914.88,157008.24
19/06/2025,1820.40,140002.77
18/06/2025,1816.89,168135.63
17/06/2025,1796.80,143877.28
16/06/2025,1767.98,176882.84
15/06/2025,1615.17,66599.25
12/06/2025,1581.17,95446.51
11/06/2025,1612.19,48241.95
10/06/2025,1595.42,47129.85
09/06/2025,1621.59,43937.59
08/06/2025,1625.32,48050.19
05/06/2025,1616.83,77012.74
04/06/2025,1591.62,75335.42
03/06/2025,1594.59,59542.27
29/05/2025,1618.00,112340.44
28/05/2025,1640.45,56596.32
27/05/2025,1635.39,46257.49
26/05/2025,1642.94,90424.09
25/05/2025,1594.47,25118.01
22/05/2025,1597.37,51815.26
21/05/2025,1625.05,73577.71
20/05/2025,1678.00,41865.33
19/05/2025,1707.82,47596.36
18/05/2025,1739.36,31153.95
15/05/2025,1716.33,67391.89
14/05/2025,1724.26,95933.57
13/05/2025,1672.82,39948.60
12/05/2025,1668.82,51559.91
11/05/2025,1678.57,37327.57
08/05/2025,1688.65,160965.78
07/05/2025,1668.87,88711.15
06/05/2025,1652.33,453123.83
05/05/2025,1642.28,83067.62
04/05/2025,1634.41,30150.71
29/04/2025,1651.05,56888.75
28/04/2025,1648.11,57869.47
27/04/2025,1680.59,23573.61
24/04/2025,1680.49,49198.80
23/04/2025,1687.19,77953.95
22/04/2025,1644.38,75780.84
21/04/2025,1639.22,23478.03
20/04/2025,1675.32,15798.61
17/04/2025,1661.58,33080.44
16/04/2025,1647.26,32944.52
15/04/2025,1659.82,23284.02
14/04/2025,1645.37,21631.53
10/04/2025,1610.79,57944.13
09/04/2025,1561.92,53294.29
08/04/2025,1591.61,53087.29
07/04/2025,1561.79,73887.68
06/04/2025,1531.43,37618.58
03/04/2025,1581.24,77007.12
02/04/2025,1595.41,64547.49
01/04/2025,1553.93,53845.74
31/03/2025,1511.19,72737.72
30/03/2025,1528.47,18883.37
27/03/2025,1544.65,72717.03
26/03/2025,1528.68,62806.86
25/03/2025,1564.74,91484.60
24/03/2025,1544.63,99799.17
23/03/2025,1518.52,58140.35
20/03/2025,1621.24,175465.02
19/03/2025,1636.42,88157.50
18/03/2025,1667.67,84697.80
17/03/2025,1711.28,83419.92
16/03/2025,1725.72,40608.92
13/03/2025,1691.22,60254.60
12/03/2025,1711.99,71674.14
11/03/2025,1667.45,112846.41
10/03/2025,1673.39,58340.64
09/03/2025,1709.07,35119.11
06/03/2025,1703.80,66066.00
05/03/2025,1714.88,52315.36
04/03/2025,1722.93,74029.34
03/03/2025,1782.03,60147.75
02/03/2025,1786.11,24319.33
27/02/2025,1807.36,75382.19
26/02/2025,1803.92,50989.59
