 נתוני מדד ת"א טק - עילית,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
29/03/2023,564.73,233946.34
28/03/2023,565.59,242067.38
27/03/2023,571.22,318120.98
26/03/2023,566.74,112337.07
23/03/2023,576.19,336297.50
22/03/2023,569.18,364925.82
21/03/2023,570.51,214257.66
20/03/2023,568.33,290672.41
19/03/2023,560.63,102575.19
16/03/2023,566.54,517097.37
15/03/2023,571.33,323163.41
14/03/2023,576.67,266341.70
13/03/2023,567.75,347204.01
12/03/2023,571.41,162675.57
09/03/2023,588.44,304092.68
08/03/2023,585.19,302111.71
06/03/2023,587.15,294298.38
05/03/2023,581.74,106820.79
02/03/2023,571.68,916474.61
01/03/2023,575.06,328527.56
28/02/2023,577.76,412435.66
27/02/2023,578.23,397927.50
26/02/2023,573.43,178913.77
23/02/2023,586.10,681183.71
22/02/2023,591.99,391303.19
21/02/2023,594.86,325725.91
20/02/2023,602.29,186705.95
19/02/2023,600.25,99424.99
16/02/2023,602.71,346175.64
15/02/2023,603.91,249008.18
14/02/2023,602.96,316398.23
13/02/2023,601.37,282652.04
12/02/2023,594.57,235542.24
09/02/2023,608.39,278143.79
08/02/2023,612.79,289475.36
07/02/2023,613.49,336803.30
06/02/2023,616.10,298586.71
05/02/2023,623.02,92690.45
02/02/2023,627.04,1198249.34
01/02/2023,610.79,325397.44
31/01/2023,599.59,318776.44
30/01/2023,595.31,328820.13
29/01/2023,588.00,178680.45
26/01/2023,593.86,453629.60
25/01/2023,589.98,233157.13
24/01/2023,602.85,227787.12
23/01/2023,601.82,226150.84
22/01/2023,598.22,124486.14
19/01/2023,600.19,285202.68
18/01/2023,611.86,213180.73
17/01/2023,608.89,213205.45
16/01/2023,607.10,159043.59
15/01/2023,604.57,113697.62
12/01/2023,593.15,230379.64
11/01/2023,601.62,172563.70
10/01/2023,597.73,162421.11
09/01/2023,604.10,210093.33
08/01/2023,598.24,105142.06
05/01/2023,590.13,545604.84
04/01/2023,590.01,265586.35
03/01/2023,587.21,218898.92
02/01/2023,584.23,147005.07
01/01/2023,581.95,112183.25
29/12/2022,578.22,475263.06
28/12/2022,573.96,239796.37
27/12/2022,576.38,201436.52
26/12/2022,576.85,179137.64
25/12/2022,575.96,109187.00
22/12/2022,579.57,206145.84
21/12/2022,582.01,252610.36
20/12/2022,579.40,297054.58
19/12/2022,579.53,205929.14
18/12/2022,579.70,107244.88
15/12/2022,581.72,383032.93
14/12/2022,588.16,185744.62
13/12/2022,591.05,291297.87
12/12/2022,579.71,225047.04
11/12/2022,583.50,106640.89
08/12/2022,588.08,254334.27
07/12/2022,585.92,262893.06
06/12/2022,596.25,225383.64
05/12/2022,606.59,328890.62
04/12/2022,610.60,99196.38
01/12/2022,610.60,592421.57
30/11/2022,598.12,436714.41
29/11/2022,598.22,317325.40
28/11/2022,596.84,210360.40
27/11/2022,601.52,76480.09
24/11/2022,601.53,352002.05
23/11/2022,597.61,173600.38
22/11/2022,602.38,219790.04
21/11/2022,606.69,186791.17
20/11/2022,615.12,109097.25
17/11/2022,611.10,376600.90
16/11/2022,619.51,234603.71
15/11/2022,626.80,376580.10
14/11/2022,619.45,399930.17
13/11/2022,617.98,171556.97
10/11/2022,617.88,529406.72
09/11/2022,604.18,249687.45
08/11/2022,603.38,477088.57
07/11/2022,593.15,259927.43
06/11/2022,601.70,104591.40
03/11/2022,600.27,512209.92
02/11/2022,606.58,320074.14
31/10/2022,612.23,310801.01
30/10/2022,619.65,148684.20
27/10/2022,618.77,399747.02
26/10/2022,619.69,208448.46
25/10/2022,614.57,189904.91
24/10/2022,607.79,248040.03
23/10/2022,612.15,110749.78
20/10/2022,611.54,280027.10
19/10/2022,616.08,278912.46
18/10/2022,620.50,336128.34
13/10/2022,610.70,205657.28
12/10/2022,615.56,242595.44
11/10/2022,612.76,216981.66
06/10/2022,630.92,790446.82
03/10/2022,626.51,393857.46
02/10/2022,612.52,192276.51
29/09/2022,627.88,480814.66
28/09/2022,632.24,478793.82
22/09/2022,641.76,299751.59
21/09/2022,651.44,235233.73
20/09/2022,650.43,203102.51
19/09/2022,654.22,222724.91
18/09/2022,655.61,100364.59
15/09/2022,664.50,345157.64
14/09/2022,664.67,243610.01
13/09/2022,669.60,281654.05
12/09/2022,678.30,218379.93
11/09/2022,677.61,117735.66
08/09/2022,667.89,271627.25
07/09/2022,656.30,232202.00
06/09/2022,655.96,178310.12
05/09/2022,660.92,139445.46
04/09/2022,661.54,114281.51
01/09/2022,667.81,391456.37
31/08/2022,673.28,339725.33
30/08/2022,672.48,233805.76
29/08/2022,670.63,286954.03
28/08/2022,669.41,139367.96
25/08/2022,682.12,366378.18
24/08/2022,680.40,271833.37
23/08/2022,675.43,228720.16
22/08/2022,674.31,297445.15
21/08/2022,683.92,114865.32
18/08/2022,686.03,338117.22
17/08/2022,683.41,497880.77
16/08/2022,692.67,356777.91
15/08/2022,695.50,332060.57
14/08/2022,691.85,155204.34
11/08/2022,692.74,300008.66
10/08/2022,684.64,284159.82
09/08/2022,679.27,265386.07
08/08/2022,696.01,363009.07
04/08/2022,685.41,1163499.15
03/08/2022,687.08,257916.25
02/08/2022,681.66,245406.89
01/08/2022,684.72,274651.45
31/07/2022,689.87,198937.74
28/07/2022,679.66,612902.47
27/07/2022,675.19,275014.52
26/07/2022,672.45,226422.36
25/07/2022,678.75,236200.44
24/07/2022,687.20,115202.42
21/07/2022,695.91,409336.39
20/07/2022,685.03,247831.87
19/07/2022,672.92,219813.10
18/07/2022,674.32,271471.49
17/07/2022,670.30,88137.97
14/07/2022,662.63,317494.96
13/07/2022,666.65,295241.56
12/07/2022,673.27,270152.07
11/07/2022,672.76,284243.25
10/07/2022,678.20,107020.59
07/07/2022,670.47,610947.87
06/07/2022,660.89,377623.15
05/07/2022,656.30,310030.84
04/07/2022,660.20,183043.44
03/07/2022,658.01,202642.71
30/06/2022,643.63,414704.40
29/06/2022,652.54,254460.49
28/06/2022,660.94,292052.77
27/06/2022,653.98,291388.16
26/06/2022,657.49,165403.17
23/06/2022,641.35,358022.64
22/06/2022,641.28,281380.83
21/06/2022,636.36,280541.15
20/06/2022,628.23,208671.72
19/06/2022,624.99,150726.44
16/06/2022,614.86,503646.35
15/06/2022,626.71,244062.41
14/06/2022,617.77,275361.25
13/06/2022,618.51,314232.59
12/06/2022,634.54,141012.45
09/06/2022,662.26,278754.80
08/06/2022,670.79,231799.44
07/06/2022,663.37,283632.32
06/06/2022,672.79,250745.18
02/06/2022,667.94,435056.67
01/06/2022,667.86,284757.43
31/05/2022,662.82,1729409.01
30/05/2022,668.89,249308.00
29/05/2022,675.22,183196.21
26/05/2022,650.35,437613.60
25/05/2022,633.16,320355.43
24/05/2022,638.25,341604.17
23/05/2022,657.80,343076.81
22/05/2022,660.39,130686.78
19/05/2022,649.98,489146.13
18/05/2022,666.04,363705.89
17/05/2022,660.36,308324.10
16/05/2022,658.29,358806.97
15/05/2022,655.92,167944.99
12/05/2022,641.86,528132.39
11/05/2022,653.01,326692.54
10/05/2022,659.73,478538.45
09/05/2022,657.13,704869.59
08/05/2022,673.87,215507.05
03/05/2022,692.72,365526.34
02/05/2022,687.40,439900.68
01/05/2022,698.59,113701.89
28/04/2022,702.10,589625.54
27/04/2022,698.68,299868.34
26/04/2022,707.53,275624.28
25/04/2022,711.96,413763.42
24/04/2022,711.51,151127.27
20/04/2022,727.90,205664.54
19/04/2022,719.38,158260.29
18/04/2022,718.97,89030.02
17/04/2022,718.12,69516.12
14/04/2022,724.22,294400.80
13/04/2022,719.76,268337.13
12/04/2022,724.05,310687.00
11/04/2022,722.85,352514.07
10/04/2022,733.59,158573.21
07/04/2022,740.48,1032589.83
06/04/2022,737.85,373287.89
05/04/2022,750.83,463976.53
04/04/2022,747.68,398984.03
03/04/2022,731.93,182240.98
31/03/2022,729.57,360366.73
30/03/2022,738.96,377020.83
29/03/2022,741.28,426228.02
28/03/2022,742.20,344713.41
27/03/2022,741.53,246018.82
24/03/2022,740.77,476771.66
23/03/2022,747.60,471788.22
22/03/2022,752.56,351169.40
21/03/2022,745.62,404611.85
20/03/2022,750.19,194234.22
16/03/2022,728.39,797194.07
15/03/2022,712.70,365161.94
14/03/2022,716.77,369743.96
13/03/2022,721.95,177121.57
10/03/2022,737.07,465697.80
09/03/2022,734.67,535300.52
08/03/2022,713.81,615998.08
07/03/2022,715.90,503000.31
06/03/2022,718.83,193623.98
03/03/2022,731.39,640949.86
02/03/2022,733.80,453256.34
01/03/2022,729.47,494251.82
28/02/2022,719.47,498893.67
27/02/2022,707.39,276363.76
24/02/2022,687.67,812594.53
23/02/2022,710.94,302454.82
22/02/2022,721.90,354534.28
21/02/2022,722.46,257388.48
20/02/2022,722.02,235657.07
17/02/2022,738.78,484642.59
