 נתוני מדד ת"א-נדל"ן,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
23/06/2025,1245.20,318851.12
22/06/2025,1268.81,400344.74
19/06/2025,1226.31,429581.78
18/06/2025,1220.74,380548.25
17/06/2025,1202.00,407068.59
16/06/2025,1187.01,431136.69
15/06/2025,1115.06,217795.78
12/06/2025,1101.10,338806.17
11/06/2025,1133.40,203265.08
10/06/2025,1116.75,223705.05
09/06/2025,1130.62,212991.98
08/06/2025,1136.20,108949.44
05/06/2025,1133.52,238655.93
04/06/2025,1121.28,175360.58
03/06/2025,1126.47,183408.83
29/05/2025,1140.89,474966.92
28/05/2025,1147.30,181175.61
27/05/2025,1146.75,201368.21
26/05/2025,1147.78,274183.31
25/05/2025,1117.76,60552.36
22/05/2025,1115.57,178755.16
21/05/2025,1136.81,319194.44
20/05/2025,1163.19,213355.96
19/05/2025,1175.60,168601.80
18/05/2025,1188.97,101697.09
15/05/2025,1175.54,268430.52
14/05/2025,1178.95,350785.93
13/05/2025,1153.84,228335.97
12/05/2025,1152.75,281848.74
11/05/2025,1153.41,214763.52
08/05/2025,1152.92,335429.98
07/05/2025,1137.30,311935.04
06/05/2025,1125.06,1701207.65
05/05/2025,1116.43,306639.82
04/05/2025,1110.35,118345.52
29/04/2025,1120.03,233423.53
28/04/2025,1122.91,215563.77
27/04/2025,1139.21,135129.78
24/04/2025,1137.60,236697.87
23/04/2025,1135.02,254504.29
22/04/2025,1117.92,291974.12
21/04/2025,1109.19,103994.39
20/04/2025,1127.50,65638.73
17/04/2025,1120.11,122304.86
16/04/2025,1111.88,98978.12
15/04/2025,1110.36,126952.21
14/04/2025,1101.75,75871.01
10/04/2025,1082.10,219385.26
09/04/2025,1062.47,233027.93
08/04/2025,1078.48,252767.15
07/04/2025,1063.57,317340.65
06/04/2025,1052.27,155877.47
03/04/2025,1078.66,276025.01
02/04/2025,1079.71,210266.84
01/04/2025,1059.83,188795.40
31/03/2025,1041.57,232641.40
30/03/2025,1046.78,75976.67
27/03/2025,1054.08,342187.56
26/03/2025,1038.47,193295.81
25/03/2025,1056.03,313606.97
24/03/2025,1048.90,267885.96
23/03/2025,1031.55,187800.24
20/03/2025,1080.85,457476.10
19/03/2025,1091.34,280671.90
18/03/2025,1108.30,334363.86
17/03/2025,1138.76,245883.41
16/03/2025,1141.91,138698.76
13/03/2025,1125.82,217799.56
12/03/2025,1139.79,222365.93
11/03/2025,1120.95,281382.62
10/03/2025,1119.40,241643.90
09/03/2025,1134.76,104459.66
06/03/2025,1124.89,257193.61
05/03/2025,1137.36,192295.46
04/03/2025,1144.18,257504.38
03/03/2025,1169.78,263622.57
02/03/2025,1175.43,79839.80
27/02/2025,1181.91,356937.18
26/02/2025,1182.76,169329.52
