 נתוני מדד ת"א-פיננסים,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
23/06/2025,6709.99,1092167.03
22/06/2025,6838.96,745898.47
19/06/2025,6578.65,1685362.54
18/06/2025,6456.08,972584.34
17/06/2025,6315.75,826324.45
16/06/2025,6249.63,1054116.58
15/06/2025,6019.99,654509.58
12/06/2025,6013.81,1229295.28
11/06/2025,6181.13,818732.91
10/06/2025,6185.49,595292.72
09/06/2025,6223.28,469769.42
08/06/2025,6262.65,290907.20
05/06/2025,6225.44,896187.21
04/06/2025,6180.18,927708.86
03/06/2025,6281.20,1113205.96
29/05/2025,6252.20,3057192.88
28/05/2025,6139.67,700951.25
27/05/2025,6097.50,788031.35
26/05/2025,6075.53,852022.62
25/05/2025,5920.86,284364.44
22/05/2025,5860.63,729648.08
21/05/2025,5911.93,961898.59
20/05/2025,5974.83,1258532.39
19/05/2025,5962.64,758801.14
18/05/2025,6017.60,388177.40
15/05/2025,5918.04,741277.45
14/05/2025,5913.39,1025498.89
13/05/2025,5852.31,643814.74
12/05/2025,5862.92,787399.74
11/05/2025,5897.56,311334.48
08/05/2025,5860.84,1131344.32
07/05/2025,5826.81,1156327.34
06/05/2025,5655.13,3805529.05
05/05/2025,5630.79,929884.60
04/05/2025,5549.84,282666.88
29/04/2025,5574.26,714412.86
28/04/2025,5489.84,613327.63
27/04/2025,5552.66,236803.26
24/04/2025,5559.53,744464.83
23/04/2025,5542.94,700102.89
22/04/2025,5419.84,828021.06
21/04/2025,5429.68,277272.32
20/04/2025,5549.22,177203.43
17/04/2025,5545.87,512607.63
16/04/2025,5520.05,528260.86
15/04/2025,5482.82,599424.51
14/04/2025,5419.65,366253.55
10/04/2025,5249.88,729767.59
09/04/2025,5150.14,771911.90
08/04/2025,5259.99,846745.94
07/04/2025,5145.19,1284499.01
06/04/2025,5156.89,677355.42
03/04/2025,5372.14,1019046.14
02/04/2025,5386.08,533390.94
01/04/2025,5307.59,532136.64
31/03/2025,5278.06,777258.47
30/03/2025,5294.35,203305.88
27/03/2025,5323.30,1817775.76
26/03/2025,5243.78,751281.82
25/03/2025,5332.31,825087.02
24/03/2025,5261.36,1518400.70
23/03/2025,5034.62,744412.64
20/03/2025,5451.19,1452215.72
19/03/2025,5510.73,658356.83
18/03/2025,5592.46,858004.41
17/03/2025,5688.54,915445.98
16/03/2025,5707.35,393518.30
13/03/2025,5585.17,790597.41
12/03/2025,5501.06,793581.00
11/03/2025,5372.01,965592.38
10/03/2025,5433.00,957357.22
09/03/2025,5456.45,304496.02
06/03/2025,5361.34,798620.19
05/03/2025,5387.62,771232.81
04/03/2025,5357.77,936028.07
03/03/2025,5471.80,1089564.19
02/03/2025,5322.58,198241.59
27/02/2025,5318.80,2432838.13
26/02/2025,5305.23,527807.56
25/02/2025,5234.88,507239.17
24/02/2025,5250.17,571720.03
23/02/2025,5285.70,248785.96
20/02/2025,5377.19,548642.60
19/02/2025,5356.26,420987.86
18/02/2025,5373.84,577223.09
17/02/2025,5287.15,488486.36
16/02/2025,5309.00,221371.00
13/02/2025,5262.32,807017.76
12/02/2025,5178.42,513047.85
11/02/2025,5253.11,560060.11
10/02/2025,5289.94,690088.56
09/02/2025,5271.45,256904.98
06/02/2025,5241.58,2921079.74
05/02/2025,5260.25,867994.21
04/02/2025,5144.66,649262.89
03/02/2025,5066.19,610658.97
02/02/2025,5072.41,375948.09
30/01/2025,5048.56,1497557.03
29/01/2025,5068.05,605104.66
28/01/2025,4974.63,474561.43
27/01/2025,4944.34,798917.02
26/01/2025,5016.79,410106.30
23/01/2025,5013.46,596557.86
22/01/2025,5034.73,601944.54
21/01/2025,5083.80,578535.91
20/01/2025,5090.59,745638.21
19/01/2025,5152.89,373491.84
16/01/2025,5068.01,718813.23
15/01/2025,5019.51,617670.71
14/01/2025,4967.80,695011.20
13/01/2025,4929.43,694429.71
12/01/2025,4900.23,183830.35
09/01/2025,4860.12,475728.19
08/01/2025,4835.66,513804.20
07/01/2025,4883.68,579791.45
06/01/2025,4891.90,559066.10
05/01/2025,4847.60,240587.06
02/01/2025,4748.88,486883.53
01/01/2025,4773.02,260379.41
31/12/2024,4706.41,502292.54
30/12/2024,4614.80,537616.29
29/12/2024,4554.83,210731.51
26/12/2024,4576.41,830747.75
25/12/2024,4625.36,199948.62
24/12/2024,4654.26,311932.63
23/12/2024,4668.35,451994.24
22/12/2024,4675.70,212956.57
19/12/2024,4641.93,791910.27
18/12/2024,4672.39,470029.64
17/12/2024,4693.72,576172.51
16/12/2024,4706.71,619588.42
15/12/2024,4646.30,321154.97
12/12/2024,4671.27,641745.51
11/12/2024,4676.08,605241.10
10/12/2024,4674.89,642165.33
09/12/2024,4679.94,811776.35
08/12/2024,4617.92,334335.03
05/12/2024,4528.22,619250.03
04/12/2024,4493.45,670242.85
03/12/2024,4491.22,611969.61
02/12/2024,4453.72,550298.12
01/12/2024,4455.30,352097.94
28/11/2024,4365.11,2231526.35
27/11/2024,4396.61,724087.22
26/11/2024,4446.55,1144429.39
25/11/2024,4406.66,1134187.15
24/11/2024,4403.74,249844.01
21/11/2024,4334.69,629386.89
20/11/2024,4332.71,623003.81
19/11/2024,4335.99,730691.56
18/11/2024,4347.22,781663.27
17/11/2024,4353.30,271954.69
14/11/2024,4273.28,704527.83
13/11/2024,4279.14,616832.58
12/11/2024,4264.22,583813.38
11/11/2024,4223.68,619843.28
10/11/2024,4244.57,399200.64
07/11/2024,4135.17,1593991.70
06/11/2024,4118.12,694708.40
05/11/2024,4092.83,671246.93
04/11/2024,4086.63,447389.09
03/11/2024,4083.70,231117.49
31/10/2024,4072.17,653620.61
30/10/2024,4056.31,778164.57
29/10/2024,3984.57,600623.75
28/10/2024,3927.27,376502.12
27/10/2024,3929.96,366134.15
22/10/2024,3853.29,600669.96
21/10/2024,3911.49,482759.27
20/10/2024,3936.53,458888.92
15/10/2024,3806.63,330771.46
14/10/2024,3783.27,273492.67
13/10/2024,3776.04,148003.68
10/10/2024,3758.70,379010.74
09/10/2024,3791.33,377786.51
08/10/2024,3732.97,371415.57
07/10/2024,3696.86,506352.75
06/10/2024,3681.51,226199.79
01/10/2024,3739.49,627226.05
30/09/2024,3810.13,701702.91
29/09/2024,3776.94,436935.96
26/09/2024,3756.83,1716939.33
25/09/2024,3661.89,389212.35
24/09/2024,3628.61,508315.96
23/09/2024,3561.30,394090.41
22/09/2024,3542.71,194559.32
19/09/2024,3518.83,734432.89
18/09/2024,3553.17,366415.93
17/09/2024,3518.00,745682.99
16/09/2024,3574.01,402999.45
15/09/2024,3635.06,131517.47
12/09/2024,3650.19,331220.17
11/09/2024,3606.59,360319.37
10/09/2024,3625.85,302635.12
09/09/2024,3611.56,604247.15
08/09/2024,3624.69,146243.21
05/09/2024,3656.77,421673.40
04/09/2024,3605.47,319554.10
03/09/2024,3619.52,385095.86
02/09/2024,3639.62,544686.03
01/09/2024,3597.64,238795.96
29/08/2024,3607.10,935031.69
28/08/2024,3601.07,367410.37
27/08/2024,3581.49,454566.57
26/08/2024,3579.91,578205.88
25/08/2024,3619.19,594462.20
22/08/2024,3515.97,523948.85
21/08/2024,3494.19,575261.02
20/08/2024,3545.04,441836.90
19/08/2024,3547.06,480762.10
18/08/2024,3560.55,203757.79
15/08/2024,3533.73,534571.50
14/08/2024,3512.07,682350.83
12/08/2024,3437.53,457600.55
11/08/2024,3499.82,227298.16
08/08/2024,3467.26,450741.24
07/08/2024,3403.35,371102.63
06/08/2024,3332.47,545394.21
05/08/2024,3332.41,602164.95
04/08/2024,3333.69,294863.71
01/08/2024,3369.88,1103374.80
31/07/2024,3457.02,599656.32
30/07/2024,3479.95,542456.21
