 נתוני מדד ת"א-ביטוח,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
23/06/2025,7119.28,220054.03
22/06/2025,7195.45,218112.09
19/06/2025,6950.89,516478.92
18/06/2025,6772.07,267922.87
17/06/2025,6584.42,221787.41
16/06/2025,6448.03,215569.33
15/06/2025,6127.18,144929.63
12/06/2025,6110.07,267017.78
11/06/2025,6285.07,133799.79
10/06/2025,6302.35,138311.62
09/06/2025,6395.51,104818.31
08/06/2025,6472.48,101544.44
05/06/2025,6358.25,224721.94
04/06/2025,6352.99,221051.16
03/06/2025,6474.31,295044.46
29/05/2025,6334.75,666034.37
28/05/2025,6053.02,161184.66
27/05/2025,5959.77,95981.50
26/05/2025,5935.96,119931.39
25/05/2025,5743.24,26701.83
22/05/2025,5702.92,89746.68
21/05/2025,5689.50,107107.29
20/05/2025,5782.56,98770.44
19/05/2025,5846.97,86182.78
18/05/2025,5960.75,79849.74
15/05/2025,5857.02,105794.60
14/05/2025,5840.18,121191.87
13/05/2025,5753.80,119979.24
12/05/2025,5815.13,179436.65
11/05/2025,5828.09,53346.73
08/05/2025,5805.21,171676.57
07/05/2025,5801.91,240399.08
06/05/2025,5555.94,1050913.66
05/05/2025,5656.19,136202.13
04/05/2025,5650.45,57637.41
29/04/2025,5609.04,99384.96
28/04/2025,5560.96,89078.06
27/04/2025,5647.73,42580.08
24/04/2025,5572.20,99802.86
23/04/2025,5541.51,105292.30
22/04/2025,5393.04,82700.68
21/04/2025,5414.31,39454.32
20/04/2025,5566.15,31233.90
17/04/2025,5572.14,52117.08
16/04/2025,5545.78,68186.04
15/04/2025,5513.26,60941.15
14/04/2025,5439.38,55904.98
10/04/2025,5226.35,104304.33
09/04/2025,5120.96,135540.09
08/04/2025,5300.87,153158.60
07/04/2025,5153.68,171997.78
06/04/2025,5133.45,97530.65
03/04/2025,5408.33,92466.92
02/04/2025,5466.31,84401.79
01/04/2025,5420.47,102986.17
31/03/2025,5353.32,127279.30
30/03/2025,5385.75,41325.95
27/03/2025,5412.91,176042.36
26/03/2025,5323.59,151210.22
25/03/2025,5380.37,122489.34
24/03/2025,5252.60,212173.77
23/03/2025,5058.80,169728.59
