 נתוני מדד ת"א-מעלה,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
29/03/2023,2085.98,613290.97
28/03/2023,2136.43,675949.35
27/03/2023,2161.55,1083512.64
26/03/2023,2119.91,371858.46
23/03/2023,2168.82,1069263.96
22/03/2023,2118.00,705980.86
21/03/2023,2117.29,755261.41
20/03/2023,2102.49,977186.70
19/03/2023,2081.13,385957.84
16/03/2023,2099.59,1606303.25
15/03/2023,2108.03,1035789.79
14/03/2023,2130.59,873326.49
13/03/2023,2112.13,1185903.90
12/03/2023,2131.87,460861.81
09/03/2023,2203.26,816933.20
08/03/2023,2191.25,859228.37
06/03/2023,2177.19,1008344.08
05/03/2023,2135.53,266512.56
02/03/2023,2118.03,1627172.20
01/03/2023,2119.85,906549.56
28/02/2023,2118.32,1112193.49
27/02/2023,2108.25,1025284.54
26/02/2023,2089.88,423125.41
23/02/2023,2143.64,1535203.98
22/02/2023,2155.74,1034017.01
21/02/2023,2161.93,940023.75
20/02/2023,2209.30,493325.16
19/02/2023,2211.76,286206.90
16/02/2023,2223.70,934530.23
15/02/2023,2242.08,928944.69
14/02/2023,2220.05,838227.56
13/02/2023,2224.85,948599.44
12/02/2023,2185.51,652129.29
09/02/2023,2203.38,967519.58
08/02/2023,2224.54,684310.62
07/02/2023,2238.00,728322.37
06/02/2023,2230.51,828667.02
05/02/2023,2237.61,350265.33
02/02/2023,2260.64,2448934.89
01/02/2023,2225.99,830111.37
31/01/2023,2212.22,882619.60
30/01/2023,2180.55,984762.72
29/01/2023,2143.08,587710.89
26/01/2023,2195.47,1334148.60
25/01/2023,2220.08,641320.23
24/01/2023,2255.29,614127.62
23/01/2023,2263.19,560269.69
22/01/2023,2263.26,271193.04
19/01/2023,2263.27,715696.43
18/01/2023,2300.14,666837.78
17/01/2023,2303.04,529040.01
16/01/2023,2298.21,426796.71
15/01/2023,2292.68,263566.61
12/01/2023,2262.93,646873.68
11/01/2023,2257.40,536047.90
10/01/2023,2255.38,499000.37
09/01/2023,2267.54,744345.62
08/01/2023,2230.21,265163.10
05/01/2023,2196.23,1251369.67
04/01/2023,2213.69,665586.75
03/01/2023,2213.51,720401.15
02/01/2023,2205.83,391418.49
01/01/2023,2194.73,260353.57
29/12/2022,2210.49,1323442.22
28/12/2022,2196.62,635304.87
27/12/2022,2195.09,698498.57
26/12/2022,2169.30,552360.15
25/12/2022,2171.55,310806.77
22/12/2022,2202.78,666148.64
21/12/2022,2218.52,677722.42
20/12/2022,2198.83,736053.06
19/12/2022,2224.56,864228.63
18/12/2022,2217.60,302758.38
15/12/2022,2237.11,1012900.43
14/12/2022,2253.08,666181.40
13/12/2022,2273.45,886251.76
12/12/2022,2247.89,721325.19
11/12/2022,2261.29,235419.23
08/12/2022,2265.17,859844.85
07/12/2022,2245.62,735968.87
06/12/2022,2286.89,669116.79
05/12/2022,2310.14,908805.68
04/12/2022,2321.80,228178.83
01/12/2022,2332.54,1420805.05
30/11/2022,2300.03,1494784.35
29/11/2022,2312.54,1000343.09
28/11/2022,2281.41,735217.59
27/11/2022,2312.49,289996.46
24/11/2022,2324.72,1126436.19
23/11/2022,2327.98,743907.07
22/11/2022,2327.92,678515.40
21/11/2022,2320.35,600772.14
20/11/2022,2349.97,353534.22
17/11/2022,2317.54,979965.93
16/11/2022,2362.59,706657.96
15/11/2022,2391.72,899109.59
14/11/2022,2374.64,1040405.06
13/11/2022,2407.96,395464.38
10/11/2022,2416.68,1260725.02
09/11/2022,2363.03,725252.54
08/11/2022,2367.80,1006968.97
07/11/2022,2344.11,700667.46
06/11/2022,2369.52,298248.32
03/11/2022,2348.02,1621919.53
02/11/2022,2384.62,758829.08
31/10/2022,2389.09,777520.05
30/10/2022,2392.64,275953.29
27/10/2022,2371.52,1051959.78
26/10/2022,2378.17,705095.99
25/10/2022,2353.39,682730.00
24/10/2022,2333.65,730855.40
23/10/2022,2342.21,367659.65
20/10/2022,2329.94,657102.97
19/10/2022,2342.46,545377.11
18/10/2022,2340.72,847054.86
13/10/2022,2315.06,480961.81
12/10/2022,2302.66,519857.07
11/10/2022,2277.30,689971.27
06/10/2022,2293.37,1642575.32
03/10/2022,2260.12,1152248.15
02/10/2022,2215.16,660680.10
29/09/2022,2263.09,1292321.60
28/09/2022,2310.86,1270443.04
22/09/2022,2373.94,688128.46
21/09/2022,2397.07,651431.49
20/09/2022,2387.72,522922.95
19/09/2022,2403.66,656894.26
18/09/2022,2383.16,298097.33
15/09/2022,2417.42,1172977.46
14/09/2022,2431.69,779732.93
13/09/2022,2468.89,794017.96
12/09/2022,2500.92,605415.52
11/09/2022,2486.97,240788.56
08/09/2022,2450.97,768706.46
07/09/2022,2426.58,835623.96
06/09/2022,2449.06,569838.97
05/09/2022,2471.65,490789.78
04/09/2022,2473.27,198828.81
01/09/2022,2474.86,1606717.29
31/08/2022,2491.86,1820942.83
30/08/2022,2498.36,756323.25
29/08/2022,2508.47,767065.30
28/08/2022,2506.33,415962.39
25/08/2022,2538.50,1148865.58
24/08/2022,2554.73,799406.19
23/08/2022,2516.60,717578.48
22/08/2022,2490.72,778450.91
21/08/2022,2511.10,282912.30
18/08/2022,2521.87,1117177.14
17/08/2022,2495.02,1060525.31
16/08/2022,2515.41,1009683.57
15/08/2022,2498.57,813030.87
14/08/2022,2499.34,384830.41
11/08/2022,2491.23,920457.26
10/08/2022,2472.47,792446.72
09/08/2022,2424.94,671591.77
08/08/2022,2429.06,681961.22
04/08/2022,2385.56,2278465.06
03/08/2022,2383.86,664262.80
02/08/2022,2364.28,665602.96
01/08/2022,2384.04,706223.99
31/07/2022,2397.25,379240.42
28/07/2022,2362.36,1415964.07
27/07/2022,2348.40,1195010.66
26/07/2022,2327.17,649500.07
25/07/2022,2353.50,600560.22
24/07/2022,2364.59,255138.99
21/07/2022,2375.17,785051.78
20/07/2022,2353.24,712564.17
19/07/2022,2334.04,580314.44
18/07/2022,2324.91,705370.17
17/07/2022,2311.67,176854.95
14/07/2022,2281.59,662907.87
13/07/2022,2304.37,591009.41
12/07/2022,2311.07,635336.09
11/07/2022,2313.39,725739.87
10/07/2022,2334.85,292522.45
07/07/2022,2300.78,1475868.83
06/07/2022,2255.65,760838.18
05/07/2022,2271.49,654670.90
04/07/2022,2295.18,454375.75
03/07/2022,2303.33,330538.40
30/06/2022,2271.18,945519.77
29/06/2022,2331.06,619483.99
28/06/2022,2335.26,1024171.55
27/06/2022,2313.54,821288.64
26/06/2022,2325.15,410159.63
23/06/2022,2278.21,1177775.35
22/06/2022,2289.05,1113304.15
21/06/2022,2292.53,543833.46
20/06/2022,2249.96,478716.49
19/06/2022,2236.21,286089.94
16/06/2022,2202.05,982487.81
15/06/2022,2259.65,658316.40
14/06/2022,2228.44,817069.22
13/06/2022,2209.23,971826.21
12/06/2022,2256.08,361903.75
09/06/2022,2339.22,820679.38
