 נתוני מדד ת"א-מניב ישראל,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
23/06/2025,1145.04,170140.91
22/06/2025,1166.03,228692.71
19/06/2025,1138.11,267266.49
18/06/2025,1130.59,196757.40
17/06/2025,1110.58,220443.67
16/06/2025,1097.63,231707.58
15/06/2025,1046.81,138934.27
12/06/2025,1036.94,211724.77
11/06/2025,1072.20,122705.61
10/06/2025,1059.39,161112.09
09/06/2025,1068.58,150090.69
08/06/2025,1074.31,55148.76
05/06/2025,1069.94,137209.37
04/06/2025,1062.93,90965.57
03/06/2025,1071.11,114484.37
29/05/2025,1081.44,313474.79
28/05/2025,1083.25,115392.77
27/05/2025,1080.95,142942.83
26/05/2025,1082.67,165769.53
25/05/2025,1054.23,29787.64
22/05/2025,1046.46,110352.63
21/05/2025,1064.61,232158.88
20/05/2025,1085.00,161709.07
19/05/2025,1095.94,109244.05
18/05/2025,1107.00,60200.53
15/05/2025,1094.84,190380.42
14/05/2025,1097.35,236442.85
13/05/2025,1078.07,178676.68
12/05/2025,1077.27,216875.80
11/05/2025,1073.92,172833.34
08/05/2025,1069.08,157468.92
07/05/2025,1056.39,198883.94
06/05/2025,1041.11,1133066.66
05/05/2025,1033.64,212134.37
04/05/2025,1028.16,81279.02
29/04/2025,1034.42,159126.97
28/04/2025,1038.04,142750.49
27/04/2025,1053.01,107465.46
24/04/2025,1053.23,178009.75
23/04/2025,1054.19,160371.74
22/04/2025,1039.38,190923.90
21/04/2025,1027.18,69637.16
20/04/2025,1042.42,44164.25
17/04/2025,1036.45,80411.14
16/04/2025,1023.87,59719.99
15/04/2025,1019.42,96354.35
14/04/2025,1014.20,48005.05
10/04/2025,997.99,145459.63
09/04/2025,983.76,158335.43
08/04/2025,997.23,180065.02
07/04/2025,981.21,219886.24
06/04/2025,979.17,108542.71
03/04/2025,1003.94,175903.59
02/04/2025,1004.95,135997.91
01/04/2025,994.55,126178.91
31/03/2025,976.70,142965.20
30/03/2025,977.93,52126.56
27/03/2025,981.06,258214.91
26/03/2025,965.85,115587.43
25/03/2025,976.35,195024.29
24/03/2025,971.30,151831.07
23/03/2025,952.48,109605.12
20/03/2025,990.43,232196.67
19/03/2025,999.45,166247.57
18/03/2025,1014.18,225147.18
17/03/2025,1043.10,147321.75
16/03/2025,1046.70,92426.14
13/03/2025,1036.79,141605.64
12/03/2025,1046.63,135024.67
11/03/2025,1032.12,140296.16
10/03/2025,1031.86,169534.07
09/03/2025,1044.29,62051.27
06/03/2025,1031.98,166768.63
05/03/2025,1047.17,125037.09
04/03/2025,1050.13,165173.48
03/03/2025,1075.34,186415.51
02/03/2025,1082.87,45916.72
27/02/2025,1084.45,256836.31
26/02/2025,1084.43,99696.77
25/02/2025,1073.58,151059.18
24/02/2025,1081.89,197680.85
23/02/2025,1087.83,64513.78
20/02/2025,1105.54,376975.77
19/02/2025,1116.03,122883.63
18/02/2025,1120.51,229462.44
17/02/2025,1099.88,109118.76
16/02/2025,1108.01,142752.32
13/02/2025,1097.04,231477.67
12/02/2025,1089.69,137110.33
11/02/2025,1111.91,168726.60
10/02/2025,1128.36,146197.46
09/02/2025,1114.48,76477.98
06/02/2025,1110.86,514956.61
05/02/2025,1126.22,313998.83
04/02/2025,1090.89,196708.90
03/02/2025,1067.31,143456.31
02/02/2025,1079.21,54558.95
30/01/2025,1080.22,213454.08
29/01/2025,1084.47,128130.45
28/01/2025,1075.11,124182.52
27/01/2025,1075.16,201009.88
26/01/2025,1095.57,87457.95
23/01/2025,1103.31,151245.28
22/01/2025,1113.84,134022.92
21/01/2025,1119.61,125149.03
20/01/2025,1124.12,103507.73
19/01/2025,1130.34,80806.49
16/01/2025,1114.78,201638.81
15/01/2025,1100.40,196861.57
14/01/2025,1083.06,165613.00
13/01/2025,1067.08,148962.37
12/01/2025,1060.28,56122.62
09/01/2025,1071.13,122763.97
08/01/2025,1069.65,173230.28
07/01/2025,1090.79,178735.89
06/01/2025,1098.42,155783.55
05/01/2025,1093.72,84840.90
02/01/2025,1075.82,144879.12
01/01/2025,1076.64,127089.54
31/12/2024,1065.02,147013.36
30/12/2024,1049.80,163094.42
29/12/2024,1052.70,85973.16
26/12/2024,1054.75,251731.37
25/12/2024,1062.00,120260.27
24/12/2024,1068.83,160805.42
23/12/2024,1070.93,128983.25
22/12/2024,1077.15,47838.69
19/12/2024,1064.82,268651.24
18/12/2024,1078.83,171200.25
17/12/2024,1079.37,151264.81
16/12/2024,1071.17,136441.51
15/12/2024,1052.21,80604.10
12/12/2024,1071.27,139150.43
11/12/2024,1078.71,138043.57
10/12/2024,1086.14,154149.83
09/12/2024,1085.76,262203.52
08/12/2024,1069.89,101257.74
05/12/2024,1053.49,123863.47
04/12/2024,1052.41,184424.97
03/12/2024,1047.11,171355.19
02/12/2024,1043.76,146769.73
01/12/2024,1044.66,83103.83
28/11/2024,1027.85,325902.22
27/11/2024,1029.44,236285.39
26/11/2024,1020.88,218386.61
25/11/2024,1004.18,240293.67
24/11/2024,998.66,57361.86
21/11/2024,989.08,169401.13
20/11/2024,991.78,150100.20
19/11/2024,993.24,202103.04
18/11/2024,995.38,195298.79
17/11/2024,991.40,93858.37
14/11/2024,982.89,203285.29
13/11/2024,978.38,168850.48
12/11/2024,972.92,226690.80
11/11/2024,964.57,172627.75
10/11/2024,971.82,146794.86
07/11/2024,950.68,517011.80
06/11/2024,953.16,221512.85
05/11/2024,949.17,177760.76
04/11/2024,938.78,99444.19
03/11/2024,946.60,85947.30
31/10/2024,946.71,302251.23
30/10/2024,944.77,374935.82
29/10/2024,915.53,175374.22
28/10/2024,902.14,127657.69
27/10/2024,907.80,86372.03
22/10/2024,889.60,140552.36
21/10/2024,899.85,135188.74
20/10/2024,905.84,142685.51
15/10/2024,881.43,130449.00
14/10/2024,872.25,112699.96
13/10/2024,872.27,50812.45
10/10/2024,864.30,108904.04
09/10/2024,873.53,120772.69
08/10/2024,871.81,141712.56
07/10/2024,877.19,195464.82
06/10/2024,875.06,129996.24
01/10/2024,873.38,140686.67
30/09/2024,887.00,169256.87
29/09/2024,883.61,103508.20
26/09/2024,874.49,247115.77
25/09/2024,859.52,126285.15
24/09/2024,851.74,167523.13
23/09/2024,830.39,127104.37
22/09/2024,825.25,64430.40
19/09/2024,815.15,210662.36
18/09/2024,823.16,88557.59
17/09/2024,821.60,210200.00
16/09/2024,839.82,140476.17
15/09/2024,865.42,35899.85
12/09/2024,866.65,133633.07
11/09/2024,861.48,94747.05
10/09/2024,858.03,73748.53
09/09/2024,854.99,114317.81
08/09/2024,865.55,41386.32
05/09/2024,879.61,134622.65
04/09/2024,856.84,80273.72
03/09/2024,852.67,83001.93
02/09/2024,860.30,54569.41
01/09/2024,855.36,42476.38
29/08/2024,862.50,240896.98
28/08/2024,862.00,61991.21
27/08/2024,854.25,107043.43
26/08/2024,852.13,99680.32
25/08/2024,853.31,72277.32
22/08/2024,830.99,81939.60
21/08/2024,828.70,86606.22
20/08/2024,836.18,94099.03
19/08/2024,838.67,99979.06
18/08/2024,848.82,39662.82
15/08/2024,840.80,107173.83
14/08/2024,830.87,111512.90
12/08/2024,820.10,101962.19
11/08/2024,838.94,45180.82
08/08/2024,835.27,138509.10
07/08/2024,829.25,150201.50
06/08/2024,806.25,131698.99
05/08/2024,789.77,151550.78
04/08/2024,784.20,61285.66
01/08/2024,785.35,340890.49
31/07/2024,807.67,138620.87
30/07/2024,814.78,106511.71
29/07/2024,822.25,81921.74
28/07/2024,829.94,70387.00
25/07/2024,859.05,184998.50
24/07/2024,867.65,111158.83
23/07/2024,860.08,91223.98
22/07/2024,848.72,75240.24
21/07/2024,851.55,58373.15
18/07/2024,864.43,84592.67
17/07/2024,859.53,79042.71
16/07/2024,861.72,91564.53
15/07/2024,856.69,92638.31
14/07/2024,854.73,49392.30
11/07/2024,857.64,154444.80
10/07/2024,830.56,76925.19
09/07/2024,838.89,160057.51
08/07/2024,822.92,110610.45
