 נתוני מדד תל-דיב,,
תאריך, מדד ,מחזור (באלפי ש''ח) 
29/03/2023,2385.34,652878.12
28/03/2023,2428.27,692576.61
27/03/2023,2433.31,874199.50
26/03/2023,2380.80,349760.37
23/03/2023,2442.63,865338.22
22/03/2023,2385.38,629272.96
21/03/2023,2369.64,696923.59
20/03/2023,2344.24,858912.01
19/03/2023,2289.31,341754.08
16/03/2023,2302.07,1325296.13
15/03/2023,2312.25,892442.79
14/03/2023,2333.53,769278.65
13/03/2023,2306.03,1060018.73
12/03/2023,2338.97,399141.09
09/03/2023,2427.61,642285.86
08/03/2023,2422.95,700887.26
06/03/2023,2431.01,855119.05
05/03/2023,2382.01,218947.43
02/03/2023,2357.60,961443.82
01/03/2023,2388.24,754241.74
28/02/2023,2369.79,1225106.10
27/02/2023,2356.29,953948.79
26/02/2023,2335.20,393818.07
23/02/2023,2422.08,1024455.30
22/02/2023,2429.81,967711.82
21/02/2023,2460.88,897741.27
20/02/2023,2534.44,495248.69
19/02/2023,2540.02,262179.83
16/02/2023,2563.84,753547.59
15/02/2023,2604.66,846312.73
14/02/2023,2596.82,635762.71
13/02/2023,2601.46,741920.52
12/02/2023,2567.74,495291.64
09/02/2023,2612.59,806238.87
08/02/2023,2639.12,539463.18
07/02/2023,2651.59,595266.16
06/02/2023,2648.35,661243.75
05/02/2023,2660.75,318854.85
02/02/2023,2682.23,1877668.44
01/02/2023,2607.21,745075.05
31/01/2023,2588.13,715713.20
30/01/2023,2539.27,817901.96
29/01/2023,2520.33,509397.29
26/01/2023,2595.09,1107205.36
25/01/2023,2642.13,501412.42
24/01/2023,2689.33,713289.66
23/01/2023,2692.94,490135.62
22/01/2023,2704.77,250268.26
19/01/2023,2711.44,594274.60
18/01/2023,2773.31,562174.60
17/01/2023,2771.38,482013.96
16/01/2023,2769.28,402201.63
15/01/2023,2771.69,274356.24
12/01/2023,2720.83,539005.81
11/01/2023,2715.31,454882.90
10/01/2023,2717.65,423609.65
09/01/2023,2728.38,541268.51
